size,regime,feature,feature_label,sample_count,forward_only_pool_count,otsu_cut,otsu_closing_count,otsu_nonclosing_count,log10_gap_at_cut,status
150,pre,er_fraction,abs(Delta E_R)/(abs(Delta E_R)+abs(Delta E_I)),6,1814,0.15050405164286065,423,1391,0.8131251761099212,ok
150,pre,sigma_r_fraction,abs(Delta sigma_R)/(abs(Delta sigma_R)+abs(Delta sigma_I)),6,1814,0.4707929336062937,433,1381,0.010657160427948675,ok
150,pre,er_plus_ei,(abs(Delta E_R)+abs(Delta E_I))/V0,6,1814,1.2212830426444036e-06,516,1298,0.010845395925923818,ok
150,pre,er_minus_ei,abs(abs(Delta E_R)-abs(Delta E_I))/V0,6,1814,1.1774433365226879e-07,472,1342,0.009629360532468212,ok
150,pre,er_plus_es,(abs(Delta E_R)+Delta E_S)/V0,6,1814,9.795091103203613e-07,493,1321,0.004371922428648922,ok
150,pre,er_sigma_r,abs(Delta E_R) abs(Delta sigma_R)/V0,6,1814,4.605247381213229e-14,426,1388,0.23621226539787799,ok
150,pre,er_sigma_s,abs(Delta E_R) abs(Delta sigma_S)/V0,6,1814,4.1063081765538924e-13,430,1384,0.10455996839099058,ok
150,pre,ei_sigma_i,abs(Delta E_I) abs(Delta sigma_I)/V0,6,1814,1.0581999977064488e-12,495,1319,0.04510238751356077,ok
150,pre,es_sigma_s,Delta E_S abs(Delta sigma_S)/V0,6,1814,8.989524805351374e-12,615,1199,0.022154589119361745,ok
150,pre,er_over_sigma_r2,abs(Delta E_R)/(V0 abs(Delta sigma_R)^2),6,1814,146739.93370055887,1368,446,0.0026897240625007868,ok
150,pre,es_over_sigma_s2,Delta E_S/(V0 abs(Delta sigma_S)^2),6,1814,28107.82790023757,1071,743,0.0025036907550441967,ok
150,pre,sigma_r2_over_er,abs(Delta sigma_R)^2/(abs(Delta E_R)/V0),6,1814,6.814777509990053e-06,446,1368,0.0026897240625007868,ok
150,pre,sigma_s2_over_es,abs(Delta sigma_S)^2/(Delta E_S/V0),6,1814,3.557727774445167e-05,743,1071,0.0025036907550441967,ok
150,post,er,abs(Delta E_R)/V0,6,15608,2.7760885605202026e-08,14280,1328,0.03125012465896848,ok
150,post,es,Delta E_S/V0,6,15608,6.158388366785847e-07,14449,1159,0.025658621594939923,ok
150,post,ei,abs(Delta E_I)/V0,6,15608,7.970754776150138e-06,14859,749,0.001387375743033381,ok
