t,W_less_mesh_locking,W_mesh_locking,W_double_triangle_edge_flip,W_single_triangle_edge_flip,abs_delta_W_mesh_locking,abs_delta_W_double_triangle_edge_flip,abs_delta_W_single_triangle_edge_flip
0.79500000000000004,0.1936200297,0.19158202564999999,0.19158202564999999,0.19430068285999999,0.0020380040500000141,0.0020380040500000141,0.00068065315999998877
0.79600000000000004,0.19191392370999999,0.18995203961000001,0.18995203961000001,0.19259315874999999,0.0019618840999999776,0.0019618840999999776,0.00067923504000000356
0.79700000000000004,0.19021354780999999,0.18832731886000001,0.18832731886000001,0.19089130689,0.0018862289499999851,0.0018862289499999851,0.00067775908000000662
0.79800000000000004,0.18851892670000001,0.18670787859999999,0.18670787859999999,0.18919515248999999,0.0018110481000000178,0.0018110481000000178,0.00067622578999998462
0.79900000000000004,0.18683008523,0.18509373404000001,0.18509373404000001,0.18750472067000001,0.0017363511899999851,0.0017363511899999851,0.00067463544000001541
0.80000000000000004,0.18514704826,0.18348490041000001,0.18348490041000001,0.18582003651000001,0.0016621478499999898,0.0016621478499999898,0.00067298825000000617
0.80100000000000005,0.18346984071,0.18188139310000001,0.18188139310000001,0.18414112525000001,0.0015884476099999878,0.0015884476099999878,0.00067128454000001114
0.80200000000000005,0.18179848741999999,0.18028322758000001,0.18028322758000001,0.18246801215,0.0015152598399999773,0.0015152598399999773,0.00066952473000000956
0.80300000000000005,0.18013301336000001,0.17869041932999999,0.17869041932999999,0.18080072250000001,0.0014425940300000217,0.0014425940300000217,0.00066770914000000015
0.80400000000000005,0.1784734435,0.17710298399999999,0.17710298399999999,0.17913928161000001,0.0013704595000000042,0.0013704595000000042,0.00066583811000001103
0.80500000000000005,0.17681980285000001,0.17552093731000001,0.17552093731000001,0.17748371473999999,0.0012988655399999993,0.0012988655399999993,0.00066391188999997963
0.80600000000000005,0.17517211638999999,0.17394429503,0.17394429503,0.1758340474,0.0012278213599999921,0.0012278213599999921,0.00066193101000000532
0.80700000000000005,0.17353040928999999,0.17237307306999999,0.17237307306999999,0.17419030494000001,0.0011573362199999992,0.0011573362199999992,0.00065989565000001971
0.80800000000000005,0.17189470639000001,0.17080728749999999,0.17080728749999999,0.17255251284000001,0.0010874188900000248,0.0010874188900000248,0.00065780644999999249
0.80900000000000005,0.17026503311999999,0.16924695418999999,0.16924695418999999,0.17092069662000001,0.0010180789299999993,0.0010180789299999993,0.00065566350000001439
0.81000000000000005,0.16864141429999999,0.16769208955000001,0.16769208955000001,0.16929488185,0.00094932474999998018,0.00094932474999998018,0.00065346755000000867
0.81100000000000005,0.16702387532999999,0.16614270973,0.16614270973,0.16767509391999999,0.00088116559999998345,0.00088116559999998345,0.00065121859000000226
0.81200000000000006,0.16541244138,0.16459883120999999,0.16459883120999999,0.16606135863999999,0.00081361017000000646,0.00081361017000000646,0.00064891725999999261
0.81299999999999994,0.16380713759000001,0.16306047044999999,0.16306047044999999,0.16445370152,0.00074666714000001799,0.00074666714000001799,0.00064656392999998258
0.81399999999999995,0.16220798920000001,0.16152764411000001,0.16152764411000001,0.16285214827,0.00068034509000000631,0.00068034509000000631,0.00064415906999998329
