label,load,energy_mean,median_max_abs_eigenvalue,median_condition
"simple shear, no reconnection",10.3,0.036803,1648.5513997552966,8190795.159732265
"simple shear, no reconnection",10.4,0.043232999999999994,1656.1179308399437,51663477.950862385
"simple shear, no reconnection",10.5,0.04521,1688.4205660830207,82686641.75657783
"simple shear, no reconnection",10.6,0.043232999999999994,1745.2330558176027,58415623.57817814
"simple shear, no reconnection",10.7,0.036803,1816.3866396754468,10335418.759548247
"simple shear, no reconnection",10.8,0.025144,1885.8293187057798,5142960.923237675
"simple shear, no reconnection",10.9,0.0097604,1940.1376043779417,5248336.379254692
"simple shear, no reconnection",11.0,-2.9605999999999997e-16,2008.5173023008924,4703803008002679.0
"simple shear, no reconnection",11.1,0.0097604,2019.996097283789,5295565.103293324
"simple shear, no reconnection",11.2,0.025144,2010.9338070400931,5502510.367565703
"simple shear, no reconnection",11.3,0.036803,1999.0336053792798,12054572.59897375
"simple shear, no reconnection",11.4,0.043232999999999994,2003.8277013267275,75634622.37218481
"simple shear, no reconnection",11.5,0.04521,2037.9946077919576,120379292.96735075
