target_width,actual_width,delta_gamma,seed,gamma_center,rate
0.02,0.01999999999999999,5e-06,3,0.25,850.0000000000005
0.02,0.020000000000000018,5e-06,3,0.27,599.9999999999994
0.02,0.020000000000000018,5e-06,3,0.29000000000000004,699.9999999999994
0.02,0.019999999999999962,5e-06,3,0.31000000000000005,350.0000000000007
0.02,0.020000000000000018,5e-06,3,0.33,599.9999999999994
0.02,0.019999999999999962,5e-06,3,0.35,550.000000000001
0.02,0.020000000000000018,5e-06,3,0.37,599.9999999999994
0.02,0.020000000000000018,5e-06,3,0.39,799.9999999999993
0.02,0.020000000000000018,5e-06,3,0.41000000000000003,399.99999999999966
0.02,0.019999999999999962,5e-06,3,0.43000000000000005,500.00000000000097
0.02,0.020000000000000018,5e-06,3,0.45,399.99999999999966
0.02,0.020000000000000018,5e-06,3,0.47000000000000003,649.9999999999994
0.02,0.019999999999999962,5e-06,3,0.49,450.00000000000085
0.02,0.020000000000000018,5e-06,3,0.51,349.9999999999997
0.02,0.020000000000000018,5e-06,3,0.53,399.99999999999966
0.02,0.020000000000000018,5e-06,3,0.55,399.99999999999966
0.02,0.020000000000000018,5e-06,3,0.5700000000000001,499.99999999999955
0.02,0.020000000000000018,5e-06,3,0.5900000000000001,449.9999999999996
0.02,0.019999999999999907,5e-06,3,0.6100000000000001,450.0000000000021
0.02,0.020000000000000018,5e-06,3,0.63,699.9999999999994
0.02,0.020000000000000018,5e-06,3,0.65,599.9999999999994
0.02,0.020000000000000018,5e-06,3,0.67,599.9999999999994
0.02,0.020000000000000018,5e-06,3,0.6900000000000001,399.99999999999966
0.02,0.019999999999999907,5e-06,3,0.71,450.0000000000021
0.02,0.020000000000000018,5e-06,3,0.73,799.9999999999993
0.02,0.020000000000000018,5e-06,3,0.75,399.99999999999966
0.02,0.020000000000000018,5e-06,3,0.77,449.9999999999996
0.02,0.020000000000000018,5e-06,3,0.79,649.9999999999994
0.02,0.020000000000000018,5e-06,3,0.81,749.9999999999993
0.02,0.020000000000000018,5e-06,3,0.8300000000000001,749.9999999999993
0.02,0.019999999999999907,5e-06,3,0.8500000000000001,550.0000000000026
0.02,0.020000000000000018,5e-06,3,0.87,599.9999999999994
0.02,0.020000000000000018,5e-06,3,0.89,449.9999999999996
0.02,0.020000000000000018,5e-06,3,0.91,399.99999999999966
0.02,0.020000000000000018,5e-06,3,0.93,699.9999999999994
0.02,0.020000000000000018,5e-06,3,0.9500000000000001,799.9999999999993
0.02,0.019999999999999907,5e-06,3,0.97,550.0000000000026
0.02,0.020000000000000018,5e-06,3,0.99,449.9999999999996
0.02,0.01999999999999999,1e-05,0,0.15000000000000002,700.0000000000003
0.02,0.020000000000000018,1e-05,0,0.17,599.9999999999994
0.02,0.01999999999999999,1e-05,0,0.19,800.0000000000005
0.02,0.020000000000000018,1e-05,0,0.21000000000000002,699.9999999999994
0.02,0.01999999999999999,1e-05,0,0.23000000000000004,500.0000000000002
0.02,0.01999999999999999,1e-05,0,0.25,500.0000000000002
0.02,0.020000000000000018,1e-05,0,0.27,649.9999999999994
0.02,0.020000000000000018,1e-05,0,0.29000000000000004,549.9999999999995
0.02,0.019999999999999962,1e-05,0,0.31000000000000005,550.000000000001
0.02,0.020000000000000018,1e-05,0,0.33,449.9999999999996
0.02,0.019999999999999962,1e-05,0,0.35,750.0000000000014
0.02,0.020000000000000018,1e-05,0,0.37,549.9999999999995
0.02,0.020000000000000018,1e-05,0,0.39,449.9999999999996
0.02,0.020000000000000018,1e-05,0,0.41000000000000003,199.99999999999983
0.02,0.019999999999999962,1e-05,0,0.43000000000000005,450.00000000000085
0.02,0.020000000000000018,1e-05,0,0.45,349.9999999999997
0.02,0.020000000000000018,1e-05,0,0.47000000000000003,349.9999999999997
